year,age,sex,exposure,deaths,mortality_rate,age_group
1990,0,Female,196151.01,1204.95565443,0.006143,0
1990,0,Male,206112.79,1566.04497842,0.007598,0
1990,1,Female,188809.77,90.06226029,4.77e-4,1-4
1990,1,Male,197966.47,118.97784847,6.01e-4,1-4
1990,2,Female,183362.16,63.99339384,3.49e-4,1-4
1990,2,Male,192232.97,85.92813759,4.47e-4,1-4
1990,3,Female,185336.68,45.03681324,2.43e-4,1-4
1990,3,Male,194161.68,67.956588,3.5e-4,1-4
1990,4,Female,188606.75,39.984631,2.12e-4,1-4
1990,4,Male,198210.03,46.975777109999996,2.37e-4,1-4
1990,5,Female,187570.63,29.073447650000002,1.55e-4,5-14
1990,5,Male,197611.06,47.031432280000004,2.38e-4,5-14
1990,6,Female,187173.72,40.05517608,2.14e-4,5-14
1990,6,Male,197267.26,46.94960788,2.38e-4,5-14
1990,7,Female,186354.24,30.00303264,1.61e-4,5-14
1990,7,Male,196586.63,46.00127142,2.34e-4,5-14
1990,8,Female,186875.73,34.94576151,1.87e-4,5-14
1990,8,Male,196901.01,34.06387473,1.73e-4,5-14
1990,9,Female,187949.79,30.071966400000004,1.6e-4,5-14
1990,9,Male,197852.35,45.9017452,2.32e-4,5-14
1990,10,Female,184874.47,24.0336811,1.3e-4,5-14
1990,10,Male,194685.79,46.91927539,2.41e-4,5-14
1990,11,Female,182583.73,27.02239204,1.48e-4,5-14
1990,11,Male,192556.78,41.977378040000005,2.18e-4,5-14
1990,12,Female,180688.04,33.065911320000005,1.83e-4,5-14
1990,12,Male,190224.83,46.98553301,2.47e-4,5-14
1990,13,Female,181519.84,31.947491839999998,1.76e-4,5-14
1990,13,Male,190820.96,49.99509152,2.62e-4,5-14
1990,14,Female,184630.09,50.034754389999996,2.71e-4,5-14
1990,14,Male,194419.55,76.99014179999999,3.96e-4,5-14
1990,15,Female,184055.83,50.983464909999995,2.77e-4,15-24
1990,15,Male,194376.91,98.93784719,5.09e-4,15-24
1990,16,Female,181742.21,53.06872532,2.92e-4,15-24
1990,16,Male,192262.35,154.9634541,8.06e-4,15-24
1990,17,Female,185110.36,71.08237824,3.84e-4,15-24
1990,17,Male,196139.59,166.91479109,8.51e-4,15-24
1990,18,Female,189858.05,77.0823683,4.06e-4,15-24
1990,18,Male,200264.18,223.09429652,0.001114,15-24
1990,19,Female,201224.9,58.9588957,2.93e-4,15-24
1990,19,Male,210790.6,271.0767116,0.001286,15-24
1990,20,Female,201356.66,66.04498448,3.28e-4,15-24
1990,20,Male,210242.35,241.98894485,0.001151,15-24
